time	V(N001,N002)	V(N002,N003)
3.003217480618312e-03	5.831999e-01	2.264108e-01
3.004438183743312e-03	5.834762e-01	2.263596e-01
3.006879589993312e-03	5.840286e-01	2.262569e-01
3.011762402493312e-03	5.851325e-01	2.260510e-01
3.021528027493311e-03	5.873374e-01	2.256363e-01
3.031293652493311e-03	5.895383e-01	2.252181e-01
3.041059277493311e-03	5.917351e-01	2.247963e-01
3.050824902493311e-03	5.939277e-01	2.243710e-01
3.060590527493311e-03	5.961162e-01	2.239422e-01
3.070356152493310e-03	5.983004e-01	2.235098e-01
3.080121777493310e-03	6.004804e-01	2.230739e-01
3.089887402493310e-03	6.026561e-01	2.226346e-01
3.099653027493310e-03	6.048275e-01	2.221918e-01
3.109418652493309e-03	6.069946e-01	2.217455e-01
3.119184277493309e-03	6.091573e-01	2.212959e-01
3.128949902493309e-03	6.113156e-01	2.208428e-01
3.138715527493309e-03	6.134694e-01	2.203863e-01
3.148481152493309e-03	6.156188e-01	2.199265e-01
3.158246777493308e-03	6.177636e-01	2.194633e-01
3.168012402493308e-03	6.199039e-01	2.189968e-01
3.177778027493308e-03	6.220397e-01	2.185270e-01
3.187543652493308e-03	6.241708e-01	2.180538e-01
3.197309277493308e-03	6.262973e-01	2.175774e-01
3.207074902493307e-03	6.284192e-01	2.170977e-01
3.216840527493307e-03	6.305363e-01	2.166147e-01
3.226606152493307e-03	6.326486e-01	2.161285e-01
3.236371777493307e-03	6.347563e-01	2.156391e-01
3.246137402493307e-03	6.368591e-01	2.151464e-01
3.247358105618307e-03	6.371216e-01	2.150846e-01
3.249799511868307e-03	6.376464e-01	2.149609e-01
3.254682324368307e-03	6.386951e-01	2.147128e-01
3.264447949368306e-03	6.407888e-01	2.142142e-01
3.274213574368306e-03	6.428777e-01	2.137124e-01
3.283979199368306e-03	6.449616e-01	2.132075e-01
3.293744824368306e-03	6.470406e-01	2.126994e-01
3.303510449368306e-03	6.491146e-01	2.121883e-01
3.313276074368305e-03	6.511836e-01	2.116740e-01
3.323041699368305e-03	6.532476e-01	2.111567e-01
3.332807324368305e-03	6.553065e-01	2.106363e-01
3.334028027493305e-03	6.555635e-01	2.105711e-01
3.336469433743305e-03	6.560772e-01	2.104404e-01
3.341352246243305e-03	6.571038e-01	2.101785e-01
3.351117871243305e-03	6.591531e-01	2.096523e-01
3.360883496243305e-03	6.611972e-01	2.091232e-01
3.362104199368305e-03	6.614524e-01	2.090569e-01
3.364545605618305e-03	6.619624e-01	2.089240e-01
3.369428418118305e-03	6.629816e-01	2.086578e-01
3.379194043118304e-03	6.650161e-01	2.081230e-01
3.388959668118304e-03	6.670452e-01	2.075853e-01
3.398725293118304e-03	6.690691e-01	2.070446e-01
3.408490918118304e-03	6.710877e-01	2.065009e-01
3.418256543118304e-03	6.731010e-01	2.059543e-01
3.428022168118303e-03	6.751090e-01	2.054048e-01
3.437787793118303e-03	6.771115e-01	2.048524e-01
3.447553418118303e-03	6.791086e-01	2.042971e-01
3.457319043118303e-03	6.811003e-01	2.037389e-01
3.467084668118302e-03	6.830866e-01	2.031779e-01
3.476850293118302e-03	6.850673e-01	2.026139e-01
3.478070996243302e-03	6.853145e-01	2.025433e-01
3.480512402493302e-03	6.858086e-01	2.024018e-01
3.485395214993302e-03	6.867959e-01	2.021183e-01
3.495160839993302e-03	6.887662e-01	2.015491e-01
3.504926464993302e-03	6.907310e-01	2.009771e-01
3.514692089993302e-03	6.926902e-01	2.004023e-01
3.524457714993301e-03	6.946437e-01	1.998247e-01
3.534223339993301e-03	6.965917e-01	1.992444e-01
3.543988964993301e-03	6.985339e-01	1.986613e-01
3.553754589993301e-03	7.004704e-01	1.980755e-01
3.563520214993301e-03	7.024012e-01	1.974870e-01
3.564740918118301e-03	7.026421e-01	1.974132e-01
3.567182324368301e-03	7.031237e-01	1.972656e-01
3.572065136868301e-03	7.040858e-01	1.969698e-01
3.581830761868300e-03	7.060058e-01	1.963762e-01
3.591596386868300e-03	7.079199e-01	1.957799e-01
3.601362011868300e-03	7.098282e-01	1.951810e-01
3.602582714993300e-03	7.100663e-01	1.951060e-01
3.605024121243300e-03	7.105423e-01	1.949557e-01
3.609906933743300e-03	7.114931e-01	1.946547e-01
3.619672558743300e-03	7.133904e-01	1.940508e-01
3.629438183743300e-03	7.152817e-01	1.934443e-01
3.639203808743299e-03	7.171672e-01	1.928351e-01
3.648969433743299e-03	7.190467e-01	1.922234e-01
3.658735058743299e-03	7.209201e-01	1.916090e-01
3.668500683743299e-03	7.227876e-01	1.909921e-01
3.678266308743299e-03	7.246490e-01	1.903726e-01
3.688031933743298e-03	7.265044e-01	1.897505e-01
3.697797558743298e-03	7.283536e-01	1.891260e-01
3.707563183743298e-03	7.301968e-01	1.884989e-01
3.717328808743298e-03	7.320338e-01	1.878693e-01
3.727094433743298e-03	7.338647e-01	1.872372e-01
3.736860058743297e-03	7.356893e-01	1.866026e-01
3.746625683743297e-03	7.375078e-01	1.859655e-01
3.756391308743297e-03	7.393200e-01	1.853260e-01
3.766156933743297e-03	7.411260e-01	1.846840e-01
3.775922558743297e-03	7.429257e-01	1.840397e-01
3.785688183743296e-03	7.447191e-01	1.833929e-01
3.795453808743296e-03	7.465061e-01	1.827437e-01
3.805219433743296e-03	7.482868e-01	1.820920e-01
3.814985058743296e-03	7.500612e-01	1.814381e-01
3.824750683743296e-03	7.518291e-01	1.807817e-01
3.834516308743295e-03	7.535905e-01	1.801230e-01
3.844281933743295e-03	7.553456e-01	1.794620e-01
3.854047558743295e-03	7.570942e-01	1.787986e-01
3.863813183743295e-03	7.588363e-01	1.781329e-01
