time	V(X,Y)
9.878453124611049e-05	-1.463890e-04
9.927281249611049e-05	-1.405478e-04
9.976109374611049e-05	-1.341105e-04
1.000000010000000e-04	-1.307726e-04
1.000000020000000e-04	-7.579875e-01
1.000000179999999e-04	-7.580163e-01
1.000000499999998e-04	-7.580737e-01
1.000001139999995e-04	-7.581886e-01
1.000002419999990e-04	-7.584185e-01
1.000004979999980e-04	-7.588783e-01
1.000010099999960e-04	-7.597976e-01
1.000020339999919e-04	-7.616359e-01
1.000040819999837e-04	-7.653112e-01
1.000081779999673e-04	-7.726564e-01
1.000163699999346e-04	-7.873257e-01
1.000327539998691e-04	-8.165796e-01
1.000655219997382e-04	-8.747493e-01
1.001310579994763e-04	-9.897426e-01
1.002621299989526e-04	-1.214400e+00
1.005242739979051e-04	-1.642838e+00
1.010125552479051e-04	-2.369551e+00
1.015008364979051e-04	-3.007974e+00
1.019891177479051e-04	-3.563866e+00
1.024773989979051e-04	-4.042831e+00
1.029656802479051e-04	-4.450303e+00
1.034539614979051e-04	-4.791533e+00
1.039422427479051e-04	-5.071582e+00
1.044305239979051e-04	-5.295311e+00
1.049188052479051e-04	-5.467380e+00
1.054070864979051e-04	-5.592239e+00
1.058953677479051e-04	-5.674129e+00
1.063836489979051e-04	-5.717080e+00
1.068719302479051e-04	-5.724912e+00
1.073602114979051e-04	-5.701236e+00
1.078484927479051e-04	-5.649457e+00
1.083367739979051e-04	-5.572774e+00
1.088250552479051e-04	-5.474189e+00
1.093133364979051e-04	-5.356509e+00
1.098016177479051e-04	-5.222352e+00
1.102898989979051e-04	-5.074148e+00
1.107781802479051e-04	-4.914156e+00
1.112664614979051e-04	-4.744458e+00
1.117547427479051e-04	-4.566974e+00
1.122430239979051e-04	-4.383465e+00
1.127313052479051e-04	-4.195542e+00
1.132195864979051e-04	-4.004671e+00
1.137078677479051e-04	-3.812182e+00
1.141961489979051e-04	-3.619276e+00
1.146844302479051e-04	-3.427031e+00
1.151727114979051e-04	-3.236408e+00
1.156609927479051e-04	-3.048259e+00
1.161492739979051e-04	-2.863339e+00
1.166375552479051e-04	-2.682300e+00
1.171258364979051e-04	-2.505711e+00
1.176141177479051e-04	-2.334055e+00
1.181023989979051e-04	-2.167740e+00
1.185906802479051e-04	-2.007101e+00
1.190789614979051e-04	-1.852410e+00
1.195672427479051e-04	-1.703878e+00
1.200555239979051e-04	-1.561659e+00
1.205438052479051e-04	-1.425860e+00
1.210320864979051e-04	-1.296542e+00
1.215203677479051e-04	-1.173722e+00
1.220086489979051e-04	-1.057385e+00
1.224969302479051e-04	-9.474792e-01
1.229852114979051e-04	-8.439252e-01
1.234734927479051e-04	-7.466173e-01
1.239617739979051e-04	-6.554278e-01
1.244500552479051e-04	-5.702091e-01
1.249383364979051e-04	-4.907971e-01
1.254266177479051e-04	-4.170135e-01
1.259148989979051e-04	-3.486686e-01
1.264031802479051e-04	-2.855630e-01
1.268914614979051e-04	-2.274901e-01
1.273797427479051e-04	-1.742379e-01
1.278680239979051e-04	-1.255904e-01
1.283563052479051e-04	-8.132950e-02
1.288445864979051e-04	-4.123622e-02
1.293328677479051e-04	-5.092047e-03
1.298211489979051e-04	2.731999e-02
1.303094302479051e-04	5.621431e-02
1.307977114979051e-04	8.180189e-02
1.312859927479051e-04	1.042895e-01
1.317742739979051e-04	1.238789e-01
1.322625552479051e-04	1.407667e-01
1.327508364979051e-04	1.551432e-01
1.332391177479051e-04	1.671926e-01
1.337273989979051e-04	1.770924e-01
1.342156802479051e-04	1.850130e-01
1.347039614979051e-04	1.911178e-01
1.351922427479051e-04	1.955630e-01
1.356805239979051e-04	1.984973e-01
1.361688052479051e-04	2.000623e-01
1.366570864979051e-04	2.003918e-01
1.371453677479051e-04	1.996127e-01
1.376336489979051e-04	1.978444e-01
1.381219302479051e-04	1.951994e-01
1.386102114979051e-04	1.917829e-01
1.390984927479051e-04	1.876935e-01
1.395867739979051e-04	1.830232e-01
1.400750552479051e-04	1.778574e-01
1.405633364979051e-04	1.722754e-01
1.410516177479051e-04	1.663503e-01
1.415398989979051e-04	1.601496e-01
1.420281802479051e-04	1.537353e-01
1.425164614979051e-04	1.471639e-01
1.430047427479051e-04	1.404870e-01
1.434930239979051e-04	1.337513e-01
1.439813052479051e-04	1.269992e-01
1.444695864979051e-04	1.202685e-01
1.449578677479051e-04	1.135930e-01
1.454461489979051e-04	1.070029e-01
1.459344302479051e-04	1.005245e-01
1.464227114979051e-04	9.418104e-02
1.469109927479051e-04	8.799241e-02
1.473992739979051e-04	8.197571e-02
1.478875552479051e-04	7.614533e-02
1.483758364979051e-04	7.051312e-02
1.488641177479051e-04	6.508869e-02
1.493523989979051e-04	5.987950e-02
1.498406802479051e-04	5.489109e-02
1.503289614979051e-04	5.012724e-02
1.508172427479051e-04	4.559014e-02
1.513055239979051e-04	4.128054e-02
1.517938052479051e-04	3.719785e-02
1.522820864979051e-04	3.334039e-02
1.527703677479051e-04	2.970540e-02
1.532586489979051e-04	2.628923e-02
1.537469302479051e-04	2.308744e-02
1.542352114979051e-04	2.009489e-02
1.547234927479051e-04	1.730587e-02
1.552117739979051e-04	1.471415e-02
1.557000552479051e-04	1.231312e-02
1.561883364979051e-04	1.009581e-02
1.566766177479051e-04	8.054995e-03
1.571648989979051e-04	6.183267e-03
1.576531802479051e-04	4.473071e-03
1.581414614979051e-04	2.916774e-03
1.586297427479051e-04	1.506712e-03
1.591180239979051e-04	2.352362e-04
1.596063052479051e-04	-9.052521e-04
1.600945864979051e-04	-1.922262e-03
1.605828677479051e-04	-2.823185e-03
1.610711489979051e-04	-3.615264e-03
1.615594302479051e-04	-4.305575e-03
1.620477114979052e-04	-4.901002e-03
1.625359927479052e-04	-5.408220e-03
1.630242739979052e-04	-5.833686e-03
1.635125552479052e-04	-6.183623e-03
1.640008364979052e-04	-6.464008e-03
1.644891177479052e-04	-6.680574e-03
1.649773989979052e-04	-6.838798e-03
1.654656802479052e-04	-6.943899e-03
1.659539614979052e-04	-7.000839e-03
1.664422427479052e-04	-7.014323e-03
1.669305239979052e-04	-6.988797e-03
1.674188052479052e-04	-6.928458e-03
1.679070864979052e-04	-6.837248e-03
1.683953677479052e-04	-6.718868e-03
1.688836489979052e-04	-6.576778e-03
1.693719302479052e-04	-6.414207e-03
1.698602114979052e-04	-6.234156e-03
1.703484927479052e-04	-6.039410e-03
1.708367739979052e-04	-5.832539e-03
1.713250552479052e-04	-5.615915e-03
1.718133364979052e-04	-5.391714e-03
1.723016177479052e-04	-5.161925e-03
1.727898989979052e-04	-4.928362e-03
1.732781802479052e-04	-4.692670e-03
1.737664614979052e-04	-4.456333e-03
1.742547427479052e-04	-4.220686e-03
1.747430239979052e-04	-3.986920e-03
1.752313052479052e-04	-3.756094e-03
1.757195864979052e-04	-3.529139e-03
1.762078677479052e-04	-3.306868e-03
1.766961489979052e-04	-3.089987e-03
1.771844302479052e-04	-2.879098e-03
1.776727114979052e-04	-2.674708e-03
1.781609927479052e-04	-2.477236e-03
1.786492739979052e-04	-2.287023e-03
1.791375552479052e-04	-2.104333e-03
1.796258364979052e-04	-1.929362e-03
1.801141177479052e-04	-1.762247e-03
1.806023989979052e-04	-1.603065e-03
1.810906802479052e-04	-1.451846e-03
1.815789614979052e-04	-1.308571e-03
1.820672427479052e-04	-1.173183e-03
1.825555239979052e-04	-1.045587e-03
1.830438052479052e-04	-9.256571e-04
1.835320864979052e-04	-8.132383e-04
1.840203677479052e-04	-7.081524e-04
1.845086489979052e-04	-6.102000e-04
1.849969302479052e-04	-5.191643e-04
1.854852114979052e-04	-4.348140e-04
1.859734927479052e-04	-3.569060e-04
1.864617739979052e-04	-2.851878e-04
1.869500552479052e-04	-2.194002e-04
1.874383364979052e-04	-1.592790e-04
1.879266177479052e-04	-1.045572e-04
1.884148989979052e-04	-5.496654e-05
1.889031802479052e-04	-1.023923e-05
1.893914614979052e-04	2.989079e-05
1.898797427479052e-04	6.568655e-05
1.903680239979052e-04	9.740694e-05
1.908563052479052e-04	1.253058e-04
1.913445864979052e-04	1.496310e-04
1.918328677479052e-04	1.706239e-04
1.923211489979052e-04	1.885185e-04
1.928094302479052e-04	2.035411e-04
1.932977114979052e-04	2.159099e-04
1.937859927479052e-04	2.258346e-04
1.942742739979052e-04	2.335163e-04
1.947625552479052e-04	2.391470e-04
1.952508364979052e-04	2.429099e-04
1.957391177479052e-04	2.449790e-04
1.962273989979052e-04	2.455195e-04
1.967156802479052e-04	2.446875e-04
1.972039614979052e-04	2.426302e-04
1.976922427479052e-04	2.394860e-04
1.981805239979052e-04	2.353848e-04
1.986688052479052e-04	2.304483e-04
1.991570864979052e-04	2.247897e-04
1.996453677479052e-04	2.185144e-04
2.000000000000000e-04	2.136237e-04
2.000000010000000e-04	7.580703e-01
2.000000169999999e-04	7.580991e-01
2.000000304019416e-04	7.581231e-01
2.000000456223429e-04	7.581505e-01
2.000000760631456e-04	7.582051e-01
2.000001369447508e-04	7.583145e-01
2.000002587079613e-04	7.585331e-01
2.000005022343822e-04	7.589704e-01
2.000009892872241e-04	7.598450e-01
2.000019633929078e-04	7.615937e-01
2.000039116042753e-04	7.650900e-01
2.000078080270103e-04	7.720778e-01
2.000156008724803e-04	7.860343e-01
2.000311865634203e-04	8.138704e-01
2.000623579453003e-04	8.692367e-01
2.001247007090604e-04	9.787505e-01
