time	I(L1)
5.728062499611046e-05	8.268441e-02
5.776890624611046e-05	8.268201e-02
5.825718749611046e-05	8.268037e-02
5.874546874611046e-05	8.267946e-02
5.923374999611046e-05	8.267917e-02
5.972203124611046e-05	8.267947e-02
6.021031249611046e-05	8.268028e-02
6.069859374611047e-05	8.268154e-02
6.118687499611046e-05	8.268320e-02
6.167515624611046e-05	8.268522e-02
6.216343749611046e-05	8.268753e-02
6.265171874611046e-05	8.269010e-02
6.313999999611046e-05	8.269290e-02
6.362828124611046e-05	8.269587e-02
6.411656249611046e-05	8.269899e-02
6.460484374611046e-05	8.270222e-02
6.509312499611046e-05	8.270554e-02
6.558140624611046e-05	8.270892e-02
6.606968749611046e-05	8.271233e-02
6.655796874611046e-05	8.271575e-02
6.704624999611046e-05	8.271916e-02
6.753453124611046e-05	8.272255e-02
6.802281249611046e-05	8.272590e-02
6.851109374611047e-05	8.272920e-02
6.899937499611047e-05	8.273243e-02
6.948765624611047e-05	8.273558e-02
6.997593749611047e-05	8.273865e-02
7.046421874611047e-05	8.274163e-02
7.095249999611047e-05	8.274450e-02
7.144078124611047e-05	8.274727e-02
7.192906249611047e-05	8.274993e-02
7.241734374611047e-05	8.275248e-02
7.290562499611047e-05	8.275492e-02
7.339390624611047e-05	8.275723e-02
7.388218749611047e-05	8.275944e-02
7.437046874611047e-05	8.276153e-02
7.485874999611047e-05	8.276351e-02
7.534703124611047e-05	8.276538e-02
7.583531249611047e-05	8.276713e-02
7.632359374611047e-05	8.276877e-02
7.681187499611047e-05	8.277031e-02
7.730015624611047e-05	8.277174e-02
7.778843749611047e-05	8.277307e-02
7.827671874611047e-05	8.277431e-02
7.876499999611047e-05	8.277545e-02
7.925328124611047e-05	8.277650e-02
7.974156249611048e-05	8.277746e-02
8.022984374611048e-05	8.277835e-02
8.071812499611048e-05	8.277915e-02
8.120640624611048e-05	8.277988e-02
8.169468749611048e-05	8.278053e-02
8.218296874611048e-05	8.278113e-02
8.267124999611048e-05	8.278165e-02
8.315953124611048e-05	8.278212e-02
8.364781249611048e-05	8.278253e-02
8.413609374611048e-05	8.278289e-02
8.462437499611048e-05	8.278320e-02
8.511265624611048e-05	8.278347e-02
8.560093749611048e-05	8.278369e-02
8.608921874611048e-05	8.278388e-02
8.657749999611048e-05	8.278403e-02
8.706578124611048e-05	8.278414e-02
8.755406249611048e-05	8.278423e-02
8.804234374611048e-05	8.278428e-02
8.853062499611048e-05	8.278432e-02
8.901890624611048e-05	8.278432e-02
8.950718749611048e-05	8.278432e-02
8.999546874611048e-05	8.278429e-02
9.048374999611048e-05	8.278425e-02
9.097203124611049e-05	8.278419e-02
9.146031249611049e-05	8.278412e-02
9.194859374611049e-05	8.278404e-02
9.243687499611049e-05	8.278395e-02
9.292515624611049e-05	8.278386e-02
9.341343749611049e-05	8.278375e-02
9.390171874611049e-05	8.278364e-02
9.438999999611049e-05	8.278353e-02
9.487828124611049e-05	8.278341e-02
9.536656249611049e-05	8.278329e-02
9.585484374611049e-05	8.278317e-02
9.634312499611049e-05	8.278305e-02
9.683140624611049e-05	8.278293e-02
9.731968749611049e-05	8.278281e-02
9.780796874611049e-05	8.278270e-02
9.829624999611049e-05	8.278258e-02
9.878453124611049e-05	8.278247e-02
9.927281249611049e-05	8.278236e-02
9.976109374611049e-05	8.278225e-02
1.000000010000000e-04	8.278220e-02
1.000000020000000e-04	8.278220e-02
1.000000179999999e-04	8.278219e-02
1.000000499999998e-04	8.278216e-02
1.000001139999995e-04	8.278211e-02
1.000002419999990e-04	8.278202e-02
1.000004979999980e-04	8.278182e-02
1.000010099999960e-04	8.278143e-02
1.000020339999919e-04	8.278065e-02
1.000040819999837e-04	8.277909e-02
1.000081779999673e-04	8.277594e-02
1.000163699999346e-04	8.276955e-02
1.000327539998691e-04	8.275641e-02
1.000655219997382e-04	8.272870e-02
1.001310579994763e-04	8.266760e-02
1.002621299989526e-04	8.252313e-02
1.005242739979051e-04	8.214860e-02
1.010125552479051e-04	8.116898e-02
1.015008364979051e-04	7.985607e-02
1.019891177479051e-04	7.825158e-02
1.024773989979051e-04	7.639443e-02
1.029656802479051e-04	7.432088e-02
1.034539614979051e-04	7.206453e-02
1.039422427479051e-04	6.965651e-02
1.044305239979051e-04	6.712550e-02
1.049188052479051e-04	6.449786e-02
1.054070864979051e-04	6.179772e-02
1.058953677479051e-04	5.904711e-02
1.063836489979051e-04	5.626603e-02
1.068719302479051e-04	5.347255e-02
1.073602114979051e-04	5.068294e-02
1.078484927479051e-04	4.791174e-02
1.083367739979051e-04	4.517192e-02
1.088250552479051e-04	4.247489e-02
1.093133364979051e-04	3.983065e-02
1.098016177479051e-04	3.724790e-02
1.102898989979051e-04	3.473409e-02
1.107781802479051e-04	3.229553e-02
1.112664614979051e-04	2.993745e-02
1.117547427479051e-04	2.766414e-02
1.122430239979051e-04	2.547896e-02
1.127313052479051e-04	2.338446e-02
1.132195864979051e-04	2.138245e-02
1.137078677479051e-04	1.947403e-02
1.141961489979051e-04	1.765970e-02
1.146844302479051e-04	1.593940e-02
1.151727114979051e-04	1.431258e-02
1.156609927479051e-04	1.277823e-02
1.161492739979051e-04	1.133496e-02
1.166375552479051e-04	9.981040e-03
1.171258364979051e-04	8.714431e-03
1.176141177479051e-04	7.532844e-03
1.181023989979051e-04	6.433770e-03
1.185906802479051e-04	5.414519e-03
1.190789614979051e-04	4.472252e-03
1.195672427479051e-04	3.604016e-03
1.200555239979051e-04	2.806765e-03
1.205438052479051e-04	2.077389e-03
1.210320864979051e-04	1.412739e-03
1.215203677479051e-04	8.096467e-04
1.220086489979051e-04	2.649426e-04
1.224969302479051e-04	-2.245261e-04
1.229852114979051e-04	-6.618804e-04
1.234734927479051e-04	-1.050196e-03
1.239617739979051e-04	-1.392491e-03
1.244500552479051e-04	-1.691718e-03
1.249383364979051e-04	-1.950752e-03
1.254266177479051e-04	-2.172384e-03
1.259148989979051e-04	-2.359317e-03
1.264031802479051e-04	-2.514158e-03
1.268914614979051e-04	-2.639414e-03
1.273797427479051e-04	-2.737490e-03
1.278680239979051e-04	-2.810689e-03
1.283563052479051e-04	-2.861205e-03
1.288445864979051e-04	-2.891127e-03
1.293328677479051e-04	-2.902437e-03
1.298211489979051e-04	-2.897008e-03
1.303094302479051e-04	-2.876613e-03
1.307977114979051e-04	-2.842916e-03
1.312859927479051e-04	-2.797482e-03
1.317742739979051e-04	-2.741775e-03
1.322625552479051e-04	-2.677163e-03
1.327508364979051e-04	-2.604919e-03
1.332391177479051e-04	-2.526222e-03
1.337273989979051e-04	-2.442167e-03
1.342156802479051e-04	-2.353761e-03
1.347039614979051e-04	-2.261931e-03
1.351922427479051e-04	-2.167525e-03
1.356805239979051e-04	-2.071318e-03
1.361688052479051e-04	-1.974013e-03
1.366570864979051e-04	-1.876245e-03
1.371453677479051e-04	-1.778586e-03
1.376336489979051e-04	-1.681550e-03
1.381219302479051e-04	-1.585591e-03
